City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
9,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
13,Aktau,KZ,78.8,scattered clouds,43.65,51.2,Silk Way Hotel
14,Kathu,TH,87.01,scattered clouds,7.92,98.33,Sunset Beach Resort
18,Manggar,ID,80.78,scattered clouds,-2.88,108.27,Guest Hotel
23,Wanning,CN,81.07,scattered clouds,18.8,110.4,Paradise Hotel
27,Porto Santo,PT,77.0,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
30,Paveh,IR,87.8,few clouds,35.04,46.36,بنگاه معاملات ملکی
33,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
38,Saraland,US,88.0,broken clouds,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
40,San Buenaventura,MX,84.2,few clouds,27.08,-101.53,Hotel Gran Plaza
42,Sao Filipe,CV,78.82,light rain,14.9,-24.5,Tortuga B&B
53,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
57,Jiaonan,CN,77.0,light rain,35.88,119.98,Vienna Hotel Qingdao Huangdao
59,Portobelo,PA,80.01,scattered clouds,9.55,-79.65,La Finca
63,Atuona,PF,78.01,light rain,-9.8,-139.03,Villa Enata
64,Mtwara,TZ,75.69,broken clouds,-10.27,40.18,Til Hotels
66,Hithadhoo,MV,78.33,overcast clouds,-0.6,73.08,Scoop Guest House
70,San Patricio,MX,75.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
71,Bengkulu,ID,77.18,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
72,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
75,Faya,SA,78.8,scattered clouds,18.39,42.45,مقبرة ال مجمل
80,San Cristobal,VE,86.0,few clouds,7.77,-72.22,Pirineos
81,Butaritari,KI,82.69,overcast clouds,3.07,172.79,Isles Sunset Lodge
82,Kusu,JP,80.01,few clouds,33.28,131.15,玖珠温泉 豊後乃里
87,Sam Chuk,TH,81.0,overcast clouds,14.76,100.09,Samchuk Resort
89,Nangloi Jat,IN,80.6,mist,28.68,77.07,Radisson Blu Hotel New Delhi Paschim Vihar
92,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
97,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
104,Garowe,SO,86.92,overcast clouds,8.41,48.48,Curubo Hotel
106,Meadow Lake,US,84.0,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
111,Rusera,IN,83.77,scattered clouds,25.75,86.03,Santosh Hotel&Santosh resturent
113,Panji,ID,75.34,broken clouds,-7.73,114.1,ZAKI YAMAHA SITUBONDO
119,Atlantic City,US,84.0,clear sky,39.36,-74.42,Resorts Casino Hotel
120,Sokoto,NG,82.72,overcast clouds,13.06,5.24,RG Palace
122,Gat,IL,86.0,clear sky,31.61,34.76,רגע בנחת
123,Pantai Remis,MY,80.6,few clouds,4.46,100.63,Leisure Homestay
124,Hamilton,US,84.2,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
127,Totskoye,RU,75.24,broken clouds,52.52,52.76,Gostinitsa
129,Bandarbeyla,SO,76.55,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
135,Omboue,GA,76.8,overcast clouds,-1.57,9.26,Hotel Olako
137,Vanimo,PG,80.24,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
138,Guerrero Negro,MX,81.7,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
139,Ponta Do Sol,PT,82.4,few clouds,32.67,-17.1,Hotel do Campo
142,Lorengau,PG,82.9,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
143,Champerico,GT,80.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
145,Yamethin,MM,78.15,broken clouds,20.43,96.15,U Mya
148,Castro,BR,77.18,clear sky,-24.79,-50.01,CHACARA BAILLY
150,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
152,Banda Aceh,ID,81.21,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
158,Del Rio,US,89.6,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
165,Kano,NG,75.2,broken clouds,12.0,8.52,La Sultana Hotel
174,Karachi,PK,84.2,broken clouds,24.91,67.08,Hillside Homes
177,Shingu,JP,77.34,light rain,33.73,135.98,Shingu UI Hotel
179,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
181,Wichian Buri,TH,75.65,overcast clouds,15.66,101.11,Mit Sali Hotel
