City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
0,Kirtipur,NP,27.67,85.28,73.4,94,40,5.82,scattered clouds,2020-08-30 15:39:58
1,Qaanaaq,GL,77.48,-69.36,33.22,78,0,6.08,clear sky,2020-08-30 15:39:58
2,Bethel,US,41.37,-73.41,71.01,60,75,10.29,broken clouds,2020-08-30 15:39:27
3,Huilong,CN,31.81,121.66,86.0,92,0,3.0,light rain,2020-08-30 15:39:58
4,Busselton,AU,-33.65,115.33,45.0,67,0,4.74,clear sky,2020-08-30 15:39:59
5,Saint Helens,GB,53.45,-2.73,63.0,51,40,6.93,scattered clouds,2020-08-30 15:39:59
6,Xining,CN,36.62,101.77,48.18,81,4,0.51,clear sky,2020-08-30 15:39:59
7,Grindavik,IS,63.84,-22.43,53.6,100,90,27.51,overcast clouds,2020-08-30 15:40:00
8,Bubaque,GW,11.28,-15.83,80.8,80,85,14.47,overcast clouds,2020-08-30 15:35:43
9,Atherton,GB,53.52,-2.49,63.0,45,97,1.99,overcast clouds,2020-08-30 15:35:37
10,Kuusamo,FI,65.97,29.18,57.2,47,86,3.36,overcast clouds,2020-08-30 15:40:00
11,North Bend,US,43.41,-124.22,55.99,81,1,4.7,clear sky,2020-08-30 15:40:00
12,Hermanus,ZA,-34.42,19.23,55.0,65,26,4.0,scattered clouds,2020-08-30 15:40:01
13,Moindou,NC,-21.69,165.68,57.2,82,48,3.2,scattered clouds,2020-08-30 15:40:01
14,San Patricio,MX,19.22,-104.7,78.8,100,90,1.21,overcast clouds,2020-08-30 15:40:01
15,Bowen,AU,-20.02,148.23,59.0,93,0,5.82,clear sky,2020-08-30 15:40:01
16,Ushuaia,AR,-54.8,-68.3,24.8,92,90,24.16,heavy snow,2020-08-30 15:40:02
17,Axim,GH,4.87,-2.24,78.26,73,85,10.83,overcast clouds,2020-08-30 15:40:02
18,Mar Del Plata,AR,-38.0,-57.56,55.0,44,0,18.34,clear sky,2020-08-30 15:40:02
19,Pasighat,IN,28.07,95.33,77.99,77,100,2.82,overcast clouds,2020-08-30 15:40:03
20,Saldanha,ZA,-33.01,17.94,52.3,55,0,6.73,clear sky,2020-08-30 15:40:03
21,Verkhoyansk,RU,67.54,133.38,47.41,59,65,3.38,broken clouds,2020-08-30 15:40:03
22,Mataura,NZ,-46.19,168.86,45.0,72,41,11.01,scattered clouds,2020-08-30 15:40:04
23,Ribeira Grande,PT,38.52,-28.7,80.6,83,40,11.41,scattered clouds,2020-08-30 15:40:04
24,Kaitangata,NZ,-46.28,169.85,53.01,48,100,3.0,overcast clouds,2020-08-30 15:40:04
25,Upernavik,GL,72.79,-56.15,42.51,73,12,6.8,few clouds,2020-08-30 15:40:05
26,Castro,BR,-24.79,-50.01,80.28,40,0,7.56,clear sky,2020-08-30 15:40:05
27,Ilulissat,GL,69.22,-51.1,44.6,65,20,6.93,few clouds,2020-08-30 15:40:05
28,Gorokhovets,RU,56.19,42.7,68.0,68,40,6.71,light rain,2020-08-30 15:40:06
29,Oistins,BB,13.07,-59.53,87.8,74,40,16.11,scattered clouds,2020-08-30 15:40:06
30,Warrington,GB,53.39,-2.58,63.0,51,40,6.93,scattered clouds,2020-08-30 15:40:06
31,East London,ZA,-33.02,27.91,57.2,58,39,17.22,scattered clouds,2020-08-30 15:40:06
32,Olafsvik,IS,64.89,-23.71,52.95,93,100,24.45,heavy intensity rain,2020-08-30 15:40:07
33,Solnechnyy,RU,50.72,136.63,49.62,80,0,2.64,clear sky,2020-08-30 15:40:07
34,Morant Bay,JM,17.88,-76.41,89.6,70,20,5.82,few clouds,2020-08-30 15:40:07
35,Salalah,OM,17.02,54.09,78.8,88,90,2.24,overcast clouds,2020-08-30 15:40:08
36,Rikitea,PF,-23.12,-134.97,69.46,82,56,18.99,broken clouds,2020-08-30 15:40:08
37,High Rock,BS,26.62,-78.28,82.4,78,75,4.7,shower rain,2020-08-30 15:36:01
38,Cape Town,ZA,-33.93,18.42,57.0,50,20,9.17,few clouds,2020-08-30 15:40:08
39,Provideniya,RU,64.38,-173.3,45.68,77,34,20.29,scattered clouds,2020-08-30 15:40:09
40,Victoria,HK,22.29,114.16,86.0,81,93,8.99,overcast clouds,2020-08-30 15:38:07
41,Jamestown,US,42.1,-79.24,64.99,77,90,4.7,overcast clouds,2020-08-30 15:36:32
42,Tarakan,ID,3.3,117.63,82.74,76,98,7.49,overcast clouds,2020-08-30 15:37:41
43,Kenai,US,60.55,-151.26,53.01,81,90,13.87,overcast clouds,2020-08-30 15:40:10
44,Kapaa,US,22.08,-159.32,77.0,72,20,16.11,few clouds,2020-08-30 15:40:10
45,Buckeye,US,33.37,-112.58,89.01,48,1,9.17,clear sky,2020-08-30 15:40:10
46,Katsuura,JP,35.13,140.3,82.4,83,75,9.17,broken clouds,2020-08-30 15:40:11
47,Juegang,CN,32.32,121.19,82.99,53,0,9.01,light rain,2020-08-30 15:40:11
48,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41.0,100,85,6.71,overcast clouds,2020-08-30 15:40:11
49,Chapais,CA,49.78,-74.85,55.4,66,75,12.75,broken clouds,2020-08-30 15:40:12
50,Shaoyang,CN,27.23,111.45,76.03,79,0,4.18,light rain,2020-08-30 15:40:12
51,Hofn,IS,64.25,-15.21,53.6,93,90,9.17,shower rain,2020-08-30 15:35:44
52,Puerto Narino,CO,-3.77,-70.38,84.2,74,75,2.24,broken clouds,2020-08-30 15:40:12
53,Arraial Do Cabo,BR,-22.97,-42.03,87.8,45,0,13.87,clear sky,2020-08-30 15:40:12
54,Nizwa,OM,22.93,57.53,91.78,33,65,4.52,broken clouds,2020-08-30 15:39:27
55,Hobart,AU,-42.88,147.33,46.99,70,75,18.34,light intensity shower rain,2020-08-30 15:37:24
56,Gawler,AU,-34.6,138.73,50.0,86,8,2.98,clear sky,2020-08-30 15:40:13
57,Zharkovskiy,RU,55.85,32.27,66.16,88,93,1.68,overcast clouds,2020-08-30 15:40:13
58,Port Alfred,ZA,-33.59,26.89,53.73,64,25,14.09,scattered clouds,2020-08-30 15:40:14
59,Kailua,US,21.4,-157.74,78.8,65,20,13.87,few clouds,2020-08-30 15:40:14
60,Flinders,AU,-34.58,150.86,66.99,77,38,1.01,scattered clouds,2020-08-30 15:40:14
61,Bengkulu,ID,-3.8,102.27,77.77,83,100,4.83,overcast clouds,2020-08-30 15:38:03
62,Muros,ES,42.78,-9.06,71.01,52,0,8.99,clear sky,2020-08-30 15:40:15
63,Mitsamiouli,KM,-11.38,43.28,76.95,69,34,4.52,scattered clouds,2020-08-30 15:40:15
64,Butaritari,KI,3.07,172.79,82.63,73,53,13.06,broken clouds,2020-08-30 15:40:15
65,Cherskiy,RU,68.75,161.3,38.8,89,100,7.65,overcast clouds,2020-08-30 15:40:16
66,Dingle,PH,11.0,122.67,77.47,84,100,5.84,overcast clouds,2020-08-30 15:36:21
67,Yarada,IN,17.65,83.27,86.0,84,75,6.93,mist,2020-08-30 15:40:16
68,Barrow,US,71.29,-156.79,37.4,86,90,10.29,overcast clouds,2020-08-30 15:40:16
69,Atambua,ID,-9.11,124.89,69.66,86,28,6.2,scattered clouds,2020-08-30 15:40:17
70,Faanui,PF,-16.48,-151.75,76.32,76,22,23.44,few clouds,2020-08-30 15:40:17
71,Kavaratti,IN,10.57,72.64,82.49,78,46,12.08,scattered clouds,2020-08-30 15:35:24
72,Talcahuano,CL,-36.72,-73.12,50.0,53,0,16.11,clear sky,2020-08-30 15:40:17
73,Georgetown,MY,5.41,100.34,82.4,94,20,3.36,few clouds,2020-08-30 15:40:17
74,Amazar,RU,53.86,120.88,52.48,93,100,4.0,light rain,2020-08-30 15:40:18
75,Vaini,TO,-21.2,-175.2,75.2,94,75,8.05,broken clouds,2020-08-30 15:40:18
76,Kavali,IN,14.92,79.98,85.64,72,34,7.99,scattered clouds,2020-08-30 15:40:18
77,Altagracia De Orituco,VE,9.86,-66.38,83.84,70,82,0.29,broken clouds,2020-08-30 15:40:18
78,Nikolskoye,RU,59.7,30.79,64.4,82,90,8.95,overcast clouds,2020-08-30 15:40:19
79,Mulleriyawa,LK,6.93,79.93,82.4,78,20,6.93,few clouds,2020-08-30 15:40:19
80,Nantucket,US,41.28,-70.1,75.2,57,1,19.46,clear sky,2020-08-30 15:39:34
81,Carnarvon,AU,-24.87,113.63,66.2,82,0,12.75,clear sky,2020-08-30 15:40:19
82,Khandyga,RU,62.67,135.6,48.51,88,100,10.42,moderate rain,2020-08-30 15:40:20
83,Praia Da Vitoria,PT,38.73,-27.07,80.6,78,40,9.4,scattered clouds,2020-08-30 15:40:20
84,Punta Arenas,CL,-53.15,-70.92,35.6,47,40,23.04,scattered clouds,2020-08-30 15:37:28
85,Puerto Ayora,EC,-0.74,-90.35,69.8,68,75,14.99,broken clouds,2020-08-30 15:37:32
86,Matay,EG,28.42,30.78,98.89,20,0,8.75,clear sky,2020-08-30 15:40:21
87,Opuwo,NA,-18.06,13.84,84.79,10,1,6.78,clear sky,2020-08-30 15:40:21
88,Bauska,LV,56.41,24.19,69.8,52,40,4.7,scattered clouds,2020-08-30 15:40:21
89,Chuy,UY,-33.7,-53.46,51.57,59,96,8.23,overcast clouds,2020-08-30 15:40:21
90,New Norfolk,AU,-42.78,147.06,46.99,70,100,3.0,light rain,2020-08-30 15:40:22
91,Pevek,RU,69.7,170.31,36.48,86,71,4.09,broken clouds,2020-08-30 15:40:22
92,Atuona,PF,-9.8,-139.03,77.92,81,23,25.72,light rain,2020-08-30 15:40:22
93,Fougamou,GA,-1.22,10.58,83.98,62,90,3.8,overcast clouds,2020-08-30 15:40:23
94,Yellowknife,CA,62.46,-114.35,46.4,70,20,17.22,few clouds,2020-08-30 15:40:23
95,Mbuguni,TZ,-3.57,36.95,79.38,31,0,10.25,clear sky,2020-08-30 15:40:23
96,Ahipara,NZ,-35.17,173.17,54.27,88,34,6.46,scattered clouds,2020-08-30 15:40:23
97,Tiksi,RU,71.69,128.87,42.24,88,1,6.26,clear sky,2020-08-30 15:40:24
98,Dikson,RU,73.51,80.55,41.36,95,100,19.01,overcast clouds,2020-08-30 15:40:24
99,Hilo,US,19.73,-155.09,71.6,83,75,3.36,broken clouds,2020-08-30 15:40:24
100,Muana,BR,-1.53,-49.22,92.23,48,1,5.97,clear sky,2020-08-30 15:40:25
101,Hambantota,LK,6.12,81.12,82.4,78,75,8.05,light rain,2020-08-30 15:40:25
102,Kuching,MY,1.55,110.33,78.8,88,20,4.7,few clouds,2020-08-30 15:40:08
103,Husavik,IS,66.04,-17.34,62.6,55,75,25.28,broken clouds,2020-08-30 15:40:26
104,Udachnyy,RU,66.42,112.4,50.0,57,90,5.93,haze,2020-08-30 15:36:11
105,Forrest City,US,35.01,-90.79,77.0,94,90,4.7,overcast clouds,2020-08-30 15:40:26
106,Khvorostyanka,RU,52.61,48.96,64.72,58,60,6.29,broken clouds,2020-08-30 15:40:26
107,Luderitz,NA,-26.65,15.16,60.71,34,87,34.58,overcast clouds,2020-08-30 15:35:52
108,Beira,MZ,-19.84,34.84,77.0,88,0,14.99,haze,2020-08-30 15:40:27
109,Peniche,PT,39.36,-9.38,75.99,60,0,17.0,clear sky,2020-08-30 15:35:53
110,Okato,NZ,-39.2,173.88,45.0,92,56,11.41,broken clouds,2020-08-30 15:40:27
111,Avarua,CK,-21.21,-159.78,73.4,78,24,9.17,few clouds,2020-08-30 15:40:27
112,Tasiilaq,GL,65.61,-37.64,48.2,61,100,3.36,overcast clouds,2020-08-30 15:40:28
